countryLabel,geometryCountry,continentLabel,geometryContinent,musicFestivalLabel
Afghanistan,Point(66.0 34.0),Asia,Point(101.0 39.0),
Albania,Point(20.0 41.0),Europe,Point(7.0 46.0),Festivali i Këngës
Algeria,Point(1.0 28.0),Africa,Point(17.0 1.0),Festival International de Timgad
Algeria,Point(1.0 28.0),Africa,Point(17.0 1.0),Q98608942
Andorra,Point(1.555277777 42.558333333),Europe,Point(7.0 46.0),Q16504882
Andorra,Point(1.555277777 42.558333333),Europe,Point(7.0 46.0),Q62972894
Angola,Point(17.35 -12.35),Africa,Point(17.0 1.0),Luanda International Jazz Festival
Antigua and Barbuda,Point(-61.85 17.116666666),North America,Point(-105.0 47.0),
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Creamfields BA
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Cosquin Rock
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Pepsi Music Festival
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q2839343
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q2891475
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q3307232
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Cabrito Rock
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Festival de Jesús María
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5556486
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5643502
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5861011
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5857812
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5861082
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5891512
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5963133
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5964873
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q5861657
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),MIDF
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Quilmes Rock
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),SAMC
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Semana Musical Llao Llao
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Septiembre Musical
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q16489323
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q16493143
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q16493170
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Moonpark
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Guitar Experience Festival
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q17310825
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q18643998
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Festival MASTAI
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Rock en Baradero
Argentina,Point(-64.0 -34.0),South America,Point(-59.0 -21.0),Q24936736
Armenia,Point(44.95 40.383333),Asia,Point(101.0 39.0),MetalFront Fest
Armenia,Point(44.95 40.383333),Europe,Point(7.0 46.0),MetalFront Fest
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Sound Relief
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Metal for the Brain
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Big Day Out
